Aaron Brooks,"(0.4375, 8)"
Kyle O'Quinn,"(0.5, 4)"
Kyle Singler,"(0.5, 7)"
Kyrie Irving,"(0.8, 10)"
LaMarcus Aldridge,"(0.6470588235294118, 17)"
Lamar Patterson,"(0.0, 2)"
Lance Stephenson,"(0.3, 5)"
Lance Thomas,"(0.7666666666666667, 15)"
Langston Galloway,"(0.4791666666666667, 24)"
Larry Nance Jr.,"(0.6666666666666666, 3)"
Lavoy Allen,"(0.2222222222222222, 9)"
LeBron James,"(0.4636363636363636, 55)"
Leandro Barbosa,"(1.1, 5)"
Lou Williams,"(0.225, 20)"
Luis Scola,"(0.5454545454545454, 11)"
Luke Babbitt,"(0.9, 5)"
Luol Deng,"(0.35, 10)"
Manu Ginobili,"(0.4166666666666667, 12)"
Marc Gasol,"(0.45, 30)"
Marcelo Huertas,"(0.5, 6)"
Marcin Gortat,"(0.47058823529411764, 17)"
Marco Belinelli,"(0.5217391304347826, 23)"
Marcus Smart,"(0.3181818181818182, 11)"
Marcus Thornton,"(0.5681818181818182, 22)"
Mario Hezonja,"(0.625, 4)"
Markel Brown,"(0.21428571428571427, 7)"
Markieff Morris,"(0.38461538461538464, 13)"
Marreese Speights,"(0.4230769230769231, 13)"
Marvin Williams,"(0.59375, 16)"
Mason Plumlee,"(0.4375, 16)"
Matt Barnes,"(0.6666666666666666, 18)"
Matthew Dellavedova,"(0.4, 15)"
Maurice Harkless,"(0.5, 4)"
Metta World Peace,"(0.625, 8)"
Meyers Leonard,"(0.6, 15)"
Michael Carter-Williams,"(0.4117647058823529, 17)"
Mike Conley,"(0.27906976744186046, 43)"
Mike Scott,"(0.3125, 8)"
Miles Plumlee,"(0.0, 1)"
Mirza Teletovic,"(0.6111111111111112, 9)"
Mo Williams,"(0.325, 20)"
Monta Ellis,"(0.5111111111111111, 45)"
Myles Turner,"(0.4, 5)"
Nemanja Bjelica,"(0.7083333333333334, 12)"
Nene,"(1.0, 1)"
Nerlens Noel,"(0.6, 10)"
Nick Collison,"(0.5, 4)"
Nick Young,"(0.42857142857142855, 7)"
Nicolas Batum,"(0.4, 35)"
Nik Stauskas,"(0.4090909090909091, 11)"
Nikola Jokic,"(0.625, 8)"
Nikola Mirotic,"(0.4444444444444444, 9)"
Nikola Vucevic,"(0.4166666666666667, 36)"
Noah Vonleh,"(0.0, 1)"
Norman Powell,"(0.3333333333333333, 3)"
Norris Cole,"(0.2222222222222222, 18)"
O.J. Mayo,"(0.5833333333333334, 6)"
Omer Asik,"(0.0, 2)"
Omri Casspi,"(0.3181818181818182, 11)"
Otto Porter Jr.,"(0.3333333333333333, 12)"
PJ Hairston,"(0.0, 1)"
Pablo Prigioni,"(1.0, 2)"
Patrick Beverley,"(0.0, 6)"
Patrick Patterson,"(0.8333333333333334, 9)"
Patty Mills,"(0.25, 4)"
Pau Gasol,"(0.3194444444444444, 36)"
Paul George,"(0.49074074074074076, 54)"
Paul Millsap,"(0.515625, 32)"
Paul Pierce,"(0.5, 10)"
Quincy Acy,"(1.5, 1)"
Rajon Rondo,"(0.275, 20)"
Ramon Sessions,"(0.4523809523809524, 21)"
Randy Foye,"(0.5, 12)"
Rashad Vaughn,"(0.5, 3)"
Raul Neto,"(0.625, 4)"
Raymond Felton,"(0.44285714285714284, 35)"
Reggie Bullock,"(0.0, 1)"
Reggie Jackson,"(0.46794871794871795, 78)"
Richard Jefferson,"(0.3125, 8)"
Richaun Holmes,"(0.6666666666666666, 6)"
Ricky Rubio,"(0.1956521739130435, 23)"
Robert Covington,"(0.3611111111111111, 18)"
Robert Sacre,"(1.0, 3)"
Robin Lopez,"(0.42105263157894735, 19)"
Rodney Hood,"(0.5967741935483871, 31)"
Rodney Stuckey,"(0.45, 10)"
Ronnie Price,"(0.6111111111111112, 9)"
Roy Hibbert,"(0.5, 2)"
Rudy Gay,"(0.5178571428571429, 56)"
Rudy Gobert,"(0.4, 5)"
Russell Westbrook,"(0.35964912280701755, 57)"
Ryan Anderson,"(0.45454545454545453, 22)"
Ryan Kelly,"(0.6428571428571429, 7)"
Sasha Vujacic,"(0.16666666666666666, 6)"
Serge Ibaka,"(0.375, 16)"
Seth Curry,"(1.0, 4)"
Shabazz Muhammad,"(0.3, 20)"
Shabazz Napier,"(0.42857142857142855, 7)"
Shane Larkin,"(0.42105263157894735, 19)"
Shaun Livingston,"(0.7857142857142857, 7)"
Shelvin Mack,"(0.6666666666666666, 9)"
Solomon Hill,"(0.42857142857142855, 7)"
Spencer Hawes,"(0.6666666666666666, 3)"
Stanley Johnson,"(0.75, 8)"
Stephen Curry,"(0.7142857142857143, 56)"
Steve Blake,"(0.0, 1)"
Steven Adams,"(0.6666666666666666, 3)"
T.J. McConnell,"(0.46875, 16)"
Taj Gibson,"(0.0, 5)"
Tarik Black,"(0.75, 8)"
Tayshaun Prince,"(0.42857142857142855, 7)"
Terrence Jones,"(0.5869565217391305, 23)"
Terrence Ross,"(0.7857142857142857, 7)"
Thabo Sefolosha,"(0.5, 3)"
Thaddeus Young,"(0.5892857142857143, 28)"
Thomas Robinson,"(0.38461538461538464, 13)"
Tiago Splitter,"(1.0, 2)"
Tim Duncan,"(0.5714285714285714, 7)"
Tim Frazier,"(0.0, 3)"
Timofey Mozgov,"(0.75, 4)"
Tobias Harris,"(0.325, 20)"
Toney Douglas,"(1.0, 1)"
Tony Allen,"(0.3333333333333333, 6)"
Tony Parker,"(0.6041666666666666, 24)"
Tony Snell,"(0.0, 4)"
Tony Wroten,"(0.0, 2)"
Trevor Ariza,"(0.41935483870967744, 31)"
Trevor Booker,"(0.25, 12)"
Trey Burke,"(0.3541666666666667, 24)"
Trey Lyles,"(0.14285714285714285, 7)"
Tristan Thompson,"(0.5, 8)"
Troy Daniels,"(0.1875, 8)"
Ty Lawson,"(0.34615384615384615, 13)"
Tyler Ennis,"(0.0, 1)"
Tyler Johnson,"(0.39285714285714285, 14)"
Tyler Zeller,"(0.3333333333333333, 6)"
Tyreke Evans,"(0.5833333333333334, 30)"
Tyson Chandler,"(0.5714285714285714, 7)"
Tyus Jones,"(0.0, 1)"
Victor Oladipo,"(0.5, 24)"
Vince Carter,"(1.5, 2)"
Wayne Ellington,"(0.7857142857142857, 7)"
Wesley Johnson,"(0.5, 6)"
Wesley Matthews,"(0.6285714285714286, 35)"
Will Barton,"(0.5263157894736842, 38)"
Willie Cauley-Stein,"(1.0, 1)"
Willie Reed,"(0.7142857142857143, 7)"
Zach LaVine,"(0.5178571428571429, 56)"
Zach Randolph,"(0.5333333333333333, 15)"
Zaza Pachulia,"(0.6, 5)"
